epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.207393,2.238368,0.172267,0.172267,9.945701
2,1.985884,1.865968,0.288400,0.288400,9.523848
3,1.842771,1.859094,0.324933,0.324933,9.523605
4,1.748155,1.708391,0.361867,0.361867,9.570683
5,1.691124,1.685998,0.384800,0.384800,9.577359
6,1.643419,1.721891,0.369867,0.369867,9.578786
7,1.594527,1.584922,0.423333,0.423333,9.575775
8,1.551410,1.547561,0.427733,0.427733,9.575340
9,1.510752,1.527508,0.438133,0.438133,9.576509
10,1.476741,1.548650,0.430933,0.430933,9.570476
11,1.448711,1.463123,0.458133,0.458133,9.534437
12,1.412130,1.460896,0.467733,0.467733,9.523925
13,1.383929,1.374375,0.497333,0.497333,9.526922
14,1.357203,1.426444,0.485600,0.485600,9.525404
15,1.332762,1.363505,0.500800,0.500800,9.525062
16,1.307387,1.367992,0.508800,0.508800,9.524561
17,1.295242,1.331278,0.516800,0.516800,9.555434
18,1.267638,1.304589,0.535600,0.535600,9.523672
19,1.256286,1.365927,0.512800,0.512800,9.522172
20,1.243189,1.428731,0.501200,0.501200,9.523657
