epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.296409,2.229383,0.148000,0.149067,9.757718
2,2.109944,1.974739,0.249867,0.238800,9.344621
3,1.952925,1.874289,0.292267,0.292000,9.347173
4,1.858384,1.781066,0.327733,0.328933,9.348427
5,1.788810,1.710800,0.362133,0.361467,9.346828
6,1.736278,1.690811,0.372667,0.370933,9.347049
7,1.712226,1.683489,0.392533,0.390000,9.346862
8,1.650932,1.617169,0.397467,0.394267,9.349533
9,1.605961,1.620318,0.407733,0.406267,9.347165
10,1.565524,1.530339,0.437333,0.436400,9.348303
11,1.527381,1.498194,0.452800,0.450000,9.345869
12,1.487380,1.484031,0.460933,0.458800,9.349824
13,1.466343,1.430819,0.482800,0.481333,9.349433
14,1.432915,1.433845,0.479733,0.479867,9.349440
15,1.405704,1.426835,0.475467,0.470133,9.349845
16,1.391552,1.417239,0.489333,0.488533,9.348238
17,1.364211,1.353126,0.511067,0.513600,9.346836
18,1.344100,1.344836,0.512933,0.512267,9.345370
19,1.333147,1.345197,0.520267,0.520533,9.349033
20,1.317945,1.378929,0.499467,0.499200,9.346958
