epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.302945,2.302647,0.098400,0.098800,9.777764
2,2.302093,2.299703,0.099733,0.103333,9.375276
3,2.273787,2.251308,0.158933,0.159867,9.375651
4,2.137141,1.935629,0.270933,0.268400,9.368768
5,1.868320,1.943879,0.296533,0.295600,9.367990
6,1.750009,1.672547,0.377333,0.375733,9.369772
7,1.675100,1.703076,0.388933,0.387600,9.368605
8,1.610044,1.600183,0.419467,0.417467,9.386024
9,1.563896,1.533226,0.430400,0.430933,9.371003
10,1.518618,1.480875,0.453733,0.452800,9.373295
11,1.474192,1.443890,0.469200,0.472267,9.369893
12,1.436009,1.424716,0.477467,0.473867,9.370763
13,1.402761,1.429799,0.482267,0.480000,9.370277
14,1.375693,1.387166,0.495733,0.493600,9.369981
15,1.344874,1.349150,0.497600,0.498400,9.370761
16,1.317005,1.267175,0.541733,0.538267,9.369462
17,1.291912,1.264400,0.532267,0.534933,9.369360
18,1.266096,1.278967,0.534667,0.533067,9.368801
19,1.242170,1.289063,0.527867,0.525733,9.368955
20,1.216719,1.240103,0.554667,0.558267,9.371825
