epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.302848,2.302667,0.098400,0.098267,10.762004
2,2.302916,2.302500,0.100800,0.102800,10.312817
3,2.302485,2.298996,0.110400,0.108000,10.333398
4,2.294427,2.268230,0.121867,0.127333,10.340298
5,2.301810,2.303341,0.095333,0.095333,10.387410
6,2.302975,2.303004,0.097467,0.096133,10.355122
7,2.299874,2.302651,0.102933,0.101867,10.342233
8,2.303065,2.302934,0.099867,0.100933,10.313123
9,2.303044,2.302612,0.102933,0.106133,10.312627
10,2.303056,2.302673,0.097467,0.098800,10.321305
11,2.302866,2.302855,0.102933,0.103333,10.313439
12,2.302871,2.302963,0.099867,0.100267,10.328854
13,2.303023,2.302692,0.095333,0.097067,10.327313
14,2.303006,2.302497,0.099867,0.097733,10.341883
15,2.302994,2.303131,0.098400,0.098667,10.338339
16,2.303083,2.303088,0.098400,0.099733,10.315011
17,2.303066,2.302883,0.095333,0.096000,10.333840
18,2.303025,2.302951,0.100000,0.099467,10.315207
19,2.302935,2.303634,0.098400,0.100533,10.313955
20,2.302847,2.302678,0.097467,0.098267,10.314198
