epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.027436,1.881310,0.323733,0.315733,9.475138
2,1.830090,1.716955,0.363867,0.363200,9.098994
3,1.707001,1.618884,0.403333,0.403733,9.112137
4,1.635153,1.547426,0.424933,0.424133,9.118302
5,1.577534,1.544654,0.433467,0.433200,9.121629
6,1.530475,1.530237,0.447600,0.443467,9.142297
7,1.488221,1.449263,0.474000,0.470000,9.148581
8,1.447058,1.429739,0.483600,0.479600,9.163399
9,1.412941,1.429690,0.486667,0.484267,9.130635
10,1.376455,1.388171,0.501467,0.501467,9.130417
11,1.342967,1.336664,0.522000,0.519867,9.131057
12,1.312564,1.327309,0.519333,0.520000,9.132229
13,1.291379,1.298743,0.533733,0.530267,9.128979
14,1.260080,1.268899,0.547467,0.545333,9.133406
15,1.236613,1.279079,0.547467,0.543333,9.131780
16,1.222183,1.252428,0.560267,0.559067,9.134713
17,1.197513,1.262973,0.559333,0.560400,9.131467
18,1.188833,1.209362,0.570400,0.572000,9.131828
19,1.171339,1.244877,0.563733,0.561733,9.130843
20,1.155378,1.250970,0.561467,0.556533,9.131854
