epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.226440,2.430059,0.173800,0.221200,150.254231
2,2.003949,2.006202,0.296000,0.321200,146.496217
3,1.879413,6.504586,0.203800,0.358600,147.507455
4,1.765528,2.258183,0.306800,0.400200,147.632033
5,1.687770,2.926923,0.285200,0.436800,147.600459
6,1.627233,3.252810,0.282200,0.447600,147.593693
7,1.576375,4.239570,0.263200,0.480000,147.529106
8,1.529110,2.729154,0.323800,0.457600,147.628025
9,1.464454,4.697309,0.266200,0.498000,147.691870
10,1.436575,1.497500,0.481400,0.525000,147.579381
11,1.396032,2.155836,0.407000,0.538000,147.616393
12,1.360715,4.794386,0.292200,0.551200,147.641473
13,1.328095,2.796420,0.362200,0.562400,146.883698
14,1.298598,1.413599,0.526000,0.585400,146.259147
15,1.263256,2.777380,0.379000,0.593800,145.711866
16,1.234148,2.538278,0.411400,0.614800,145.393342
17,1.215776,1.894904,0.475400,0.627400,145.606249
18,1.180729,6.015688,0.282000,0.617400,145.452340
19,1.162812,3.044311,0.379600,0.649600,145.381316
20,1.135275,1.306979,0.568800,0.643000,145.330343
