epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.896986,1.526071,0.424000,0.426800,473.915733
2,1.505950,1.441525,0.490600,0.517600,471.753046
3,1.346494,1.224200,0.557000,0.562000,474.259980
4,1.208726,1.086549,0.614400,0.616800,473.180883
5,1.088198,1.092763,0.618200,0.650200,474.888721
6,0.971488,1.056925,0.652000,0.691800,475.182883
7,0.890902,0.785960,0.727800,0.732200,473.563764
8,0.820624,0.937619,0.686000,0.729000,474.115000
9,0.756661,0.725750,0.747600,0.762000,471.003612
10,0.708053,0.702336,0.753000,0.756800,471.670115
11,0.664075,0.658819,0.776000,0.779200,472.136234
12,0.624094,0.784396,0.733400,0.778200,474.237751
13,0.593627,0.620298,0.793600,0.790800,471.506068
14,0.561892,0.652977,0.784000,0.794000,473.286260
15,0.531676,0.663144,0.775600,0.795600,472.344348
16,0.512642,0.663723,0.784600,0.802000,473.180818
17,0.483278,0.591373,0.809400,0.806000,472.136162
18,0.461330,0.599377,0.802400,0.814400,473.741240
19,0.444273,0.583370,0.806200,0.810000,468.907517
20,0.422936,0.599748,0.803400,0.803800,472.411892
