epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.393394,0.496473,0.846700,0.846700,28.254288
2,0.356799,0.267339,0.919200,0.919200,30.081957
3,0.194185,0.126768,0.963700,0.963700,30.163023
4,0.142253,0.116363,0.967000,0.967000,29.173790
5,0.115545,0.086965,0.974400,0.974400,29.356952
6,0.098980,0.082919,0.975500,0.975500,29.881988
7,0.085995,0.124289,0.969300,0.969300,29.497459
8,0.078182,0.073335,0.980100,0.980100,29.490190
9,0.072240,0.077312,0.978000,0.978000,29.868579
10,0.070067,0.062828,0.981800,0.981800,30.210748
