epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.649995,0.300467,0.949700,0.949700,31.821490
2,0.237923,0.188828,0.971300,0.971300,31.714135
3,0.173495,0.156100,0.975700,0.975700,30.702996
4,0.146365,0.142143,0.976400,0.976400,31.535298
5,0.129407,0.124184,0.981600,0.981600,31.973169
6,0.118403,0.124617,0.979200,0.979200,32.137520
7,0.111358,0.114433,0.983200,0.983200,31.832090
8,0.105547,0.118467,0.981600,0.981600,32.152399
9,0.097685,0.109628,0.982700,0.982700,31.875384
10,0.095518,0.100712,0.985000,0.985000,31.547268
