epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.553300,0.271764,0.917900,0.913900,80.804495
2,0.231755,0.116154,0.961400,0.960900,80.607689
3,0.140856,0.084309,0.973600,0.971300,80.600214
4,0.110562,0.074161,0.976800,0.975500,80.596516
5,0.097429,0.067484,0.978600,0.978100,80.602180
6,0.084251,0.057946,0.981500,0.980800,80.610004
7,0.081979,0.049520,0.983100,0.982600,80.604293
8,0.071768,0.050010,0.985900,0.984300,80.606312
9,0.068647,0.049901,0.985700,0.984000,80.608039
10,0.065647,0.054917,0.983100,0.982200,80.609336
11,0.059743,0.045452,0.987500,0.986800,80.604004
12,0.061014,0.043653,0.986800,0.985200,80.603891
13,0.061215,0.043536,0.987200,0.986400,80.606418
14,0.053158,0.051896,0.985700,0.982800,80.608309
15,0.053533,0.057324,0.984000,0.983100,80.606055
16,0.054372,0.064162,0.982600,0.981100,80.594302
17,0.049994,0.044529,0.988000,0.986400,80.600487
18,0.047978,0.055644,0.984500,0.984500,80.604093
19,0.049235,0.046285,0.985900,0.985200,80.601585
20,0.048196,0.042691,0.987600,0.987400,80.608791
