epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.382783,0.351700,0.888100,0.899900,74.718102
2,0.232755,0.133081,0.959100,0.966100,74.543307
3,0.146946,0.113115,0.967000,0.972300,74.773370
4,0.120336,0.118321,0.964500,0.969600,74.865791
5,0.105586,0.087089,0.975200,0.977700,75.070830
6,0.094180,0.087606,0.973500,0.977000,74.960021
7,0.091945,0.075701,0.976400,0.978500,74.961387
8,0.081891,0.076030,0.978500,0.981700,75.016084
9,0.079678,0.079158,0.977500,0.980100,75.153726
10,0.073869,0.078932,0.975200,0.979000,75.180843
11,0.072280,0.065689,0.980400,0.982800,75.235227
12,0.070222,0.076534,0.976400,0.981600,74.867962
13,0.067860,0.058706,0.982100,0.983700,74.714565
14,0.064583,0.058462,0.984100,0.986100,74.873723
15,0.062666,0.077794,0.975700,0.980700,74.872328
16,0.064247,0.065607,0.980100,0.984500,74.951876
17,0.058235,0.069816,0.981400,0.982600,74.779212
18,0.057877,0.058183,0.981700,0.985700,74.861985
19,0.058245,0.054401,0.984100,0.987200,74.896240
20,0.054566,0.064763,0.981700,0.985800,75.109018
