epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.525842,0.200552,0.940600,0.943200,74.947019
2,0.156386,0.120773,0.965100,0.968000,74.857166
3,0.116384,0.094470,0.973800,0.976100,74.903837
4,0.095289,0.083670,0.975100,0.978300,74.878443
5,0.088648,0.084316,0.976100,0.979500,74.901431
6,0.076140,0.077446,0.978300,0.980200,74.993257
7,0.071114,0.075426,0.977600,0.980000,75.133024
8,0.065521,0.069124,0.982600,0.982700,75.046576
9,0.062071,0.070615,0.980300,0.981800,74.915535
10,0.058654,0.060272,0.981400,0.984300,74.811223
11,0.052898,0.065474,0.981500,0.983700,74.936135
12,0.050962,0.065174,0.981900,0.983900,74.824029
13,0.052017,0.054689,0.983900,0.986200,74.836301
14,0.047530,0.062189,0.982500,0.984100,74.757491
15,0.047753,0.065818,0.982700,0.984100,75.132728
16,0.044360,0.064628,0.981000,0.984500,75.034509
17,0.042925,0.063479,0.982400,0.984200,75.029867
18,0.043030,0.058808,0.982700,0.985600,75.156979
19,0.042161,0.055057,0.983200,0.987300,75.052232
20,0.039646,0.060409,0.983100,0.985200,75.140583
