epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.535745,0.149340,0.957200,0.955600,65.634352
2,0.164672,0.090792,0.972300,0.972000,65.588726
3,0.117834,0.079230,0.978100,0.977500,65.579350
4,0.095675,0.066636,0.979400,0.979100,65.561998
5,0.078953,0.058858,0.982000,0.982900,65.624052
6,0.072596,0.064816,0.980300,0.979900,65.637573
7,0.061067,0.057238,0.983500,0.984200,65.637703
8,0.056682,0.049179,0.986200,0.985400,65.546152
9,0.051233,0.053664,0.985100,0.985700,65.504404
10,0.047908,0.048211,0.986400,0.986100,65.560132
11,0.041657,0.041828,0.988100,0.988200,65.539109
12,0.038609,0.045724,0.987800,0.987500,65.599713
13,0.038749,0.050243,0.986100,0.986200,65.499433
14,0.034348,0.044775,0.988200,0.987800,65.677864
15,0.033688,0.042069,0.988700,0.988300,65.567165
16,0.029228,0.043967,0.988600,0.988500,65.558977
17,0.028673,0.044590,0.988300,0.988000,65.504492
18,0.026929,0.042307,0.988900,0.988900,65.508053
19,0.024081,0.037038,0.989800,0.990600,65.560719
20,0.023910,0.040732,0.989700,0.990100,65.520158
