epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.506287,0.158621,0.954500,0.953800,65.266470
2,0.150308,0.088969,0.973400,0.972100,65.226133
3,0.109613,0.080219,0.976500,0.975300,65.185012
4,0.089647,0.070053,0.977700,0.977000,65.248812
5,0.074316,0.062226,0.982100,0.981600,65.288450
6,0.066500,0.068403,0.980300,0.980600,65.217685
7,0.059514,0.059228,0.983400,0.983200,65.182897
8,0.052188,0.061542,0.981700,0.981100,65.254936
9,0.049824,0.064290,0.983100,0.982700,65.228408
10,0.046287,0.050219,0.984700,0.984600,65.261935
11,0.042900,0.048231,0.985900,0.985700,65.242950
12,0.037961,0.056067,0.984600,0.984000,65.184358
13,0.037418,0.052521,0.984900,0.985800,65.165831
14,0.034010,0.042733,0.987900,0.987600,65.238727
15,0.030369,0.038807,0.989900,0.989500,65.197611
16,0.029356,0.053170,0.986600,0.986300,65.304655
17,0.028638,0.043220,0.988600,0.988200,65.291118
18,0.025506,0.037943,0.988800,0.989400,65.237452
19,0.024953,0.042486,0.987000,0.987600,65.250562
20,0.023460,0.044373,0.987600,0.988000,65.158301
