epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.536222,0.282814,0.911100,0.923900,74.812096
2,0.334752,0.260614,0.924200,0.935100,75.395520
3,0.231938,0.172983,0.947400,0.955900,74.645071
4,0.177629,0.129110,0.962600,0.968700,74.634705
5,0.162945,0.148417,0.959000,0.963600,74.430340
6,0.149165,0.120753,0.962300,0.968400,74.416634
7,0.139930,0.117921,0.966200,0.971800,74.569672
8,0.132240,0.116673,0.965400,0.972000,74.548953
9,0.128711,0.118700,0.965200,0.969200,74.794159
10,0.123260,0.117483,0.966000,0.971500,74.870885
11,0.119931,0.101641,0.970400,0.975400,74.888571
12,0.113868,0.105453,0.971900,0.974700,74.938178
13,0.113898,0.110018,0.969900,0.972200,74.812966
14,0.145425,0.110550,0.968400,0.974200,74.773153
15,0.121091,0.115296,0.964500,0.971300,74.690073
16,0.107503,0.144564,0.961100,0.963700,74.452031
17,0.110239,0.117601,0.966300,0.971800,74.368990
18,0.105788,0.089965,0.973200,0.978100,74.318352
19,0.099698,0.089254,0.974400,0.978400,74.510812
20,0.100895,0.117840,0.966200,0.970700,74.382154
