epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.332886,0.363562,0.876200,0.874600,67.641908
2,0.390381,0.238941,0.928800,0.928000,67.503333
3,0.221220,0.155477,0.953000,0.951800,67.525665
4,0.167714,0.107309,0.970800,0.969400,67.548252
5,0.137156,0.092769,0.973400,0.973100,67.547161
6,0.118294,0.089745,0.973500,0.974200,67.590168
7,0.101199,0.086164,0.977200,0.976100,67.608603
8,0.093107,0.084901,0.975500,0.975300,67.562100
9,0.086893,0.073299,0.979700,0.979500,67.588992
10,0.074666,0.064802,0.982300,0.982800,67.599204
11,0.072381,0.079342,0.978500,0.979100,67.568698
12,0.069308,0.059108,0.985800,0.984800,67.531586
13,0.064684,0.057858,0.984900,0.985000,67.563623
14,0.059092,0.070591,0.980800,0.980500,67.575588
15,0.058947,0.060256,0.983400,0.982300,67.547675
16,0.054362,0.049112,0.985500,0.985700,67.602846
17,0.049199,0.048761,0.985800,0.985600,67.649453
18,0.049335,0.054231,0.986800,0.986100,67.575353
19,0.045137,0.059155,0.986200,0.986500,67.558702
20,0.042101,0.050986,0.984600,0.984600,67.558798
