epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.254632,0.325339,0.895600,0.895400,67.372450
2,0.297547,0.168976,0.946600,0.946300,67.411789
3,0.170191,0.120842,0.961600,0.962400,67.293446
4,0.127690,0.086686,0.974500,0.974300,67.350278
5,0.104126,0.085376,0.976200,0.975600,67.330407
6,0.089515,0.073953,0.977600,0.977300,67.294739
7,0.079857,0.075796,0.977800,0.977100,67.386713
8,0.068811,0.081646,0.976000,0.975500,67.407665
9,0.063780,0.057402,0.983300,0.982800,67.409807
10,0.060795,0.056931,0.982800,0.982400,67.397235
11,0.058657,0.063738,0.983900,0.983100,67.344295
12,0.050649,0.053571,0.984500,0.984500,67.254727
13,0.047835,0.056358,0.984700,0.984400,67.373526
14,0.049815,0.063462,0.983100,0.982800,67.293653
15,0.042267,0.048564,0.986300,0.986300,67.266605
16,0.040022,0.057240,0.984800,0.984500,67.266363
17,0.042111,0.050894,0.985700,0.985800,67.401978
18,0.036952,0.050130,0.986100,0.986300,67.396936
19,0.036461,0.045032,0.986400,0.986600,67.322356
20,0.032050,0.056980,0.985400,0.985600,67.422560
