epoch,train_loss,has_valid_loss_improved,time
1,0.013873,0.008941,1,661.079517
2,0.008387,0.007807,1,663.039034
3,0.007457,0.007121,1,660.337648
4,0.006911,0.006660,1,661.309263
5,0.006366,0.005877,1,661.122884
6,0.005288,0.004943,1,662.098814
7,0.004805,0.004666,1,661.531703
8,0.004562,0.004450,1,660.980855
9,0.004362,0.004268,1,660.625216
10,0.004189,0.004108,1,660.982227
11,0.004040,0.003967,1,660.915854
12,0.003909,0.003845,1,661.255100
13,0.003794,0.003737,1,660.685894
14,0.003693,0.003642,1,672.676497
15,0.003604,0.003560,1,673.241873
16,0.003525,0.003485,1,673.274427
17,0.003455,0.003419,1,673.281642
18,0.003394,0.003361,1,673.636071
19,0.003339,0.003311,1,673.557204
20,0.003289,0.003260,1,675.271906
21,0.003244,0.003217,1,675.050169
22,0.003204,0.003183,1,675.511074
23,0.003167,0.003143,1,673.614437
24,0.003133,0.003110,1,673.214254
25,0.003103,0.003085,1,673.428873
26,0.003074,0.003054,1,673.658798
27,0.003048,0.003028,1,673.688255
28,0.003024,0.003004,1,673.072547
29,0.003002,0.002981,1,672.983308
30,0.002981,0.002962,1,673.471932
31,0.002962,0.002944,1,673.368072
32,0.002945,0.002927,1,673.618613
33,0.002929,0.002912,1,673.777570
34,0.002914,0.002897,1,673.703986
35,0.002900,0.002883,1,673.131499
36,0.002888,0.002872,1,672.663700
37,0.002877,0.002862,1,671.427172
38,0.002866,0.002851,1,664.154624
39,0.002856,0.002840,1,661.394077
40,0.002847,0.002831,1,661.980748
41,0.002838,0.002823,1,661.945348
42,0.002831,0.002816,1,661.488390
43,0.002824,0.002809,1,662.772192
