epoch,train_loss,has_train_loss_improved,time
1,0.011834,1,323.927920
2,0.011576,1,324.744262
3,0.011307,1,324.781910
4,0.011017,1,324.746987
5,0.010683,1,324.690562
6,0.010297,1,325.993351
7,0.009876,1,325.593840
8,0.009466,1,326.857626
9,0.009103,1,327.071256
10,0.008801,1,327.005561
11,0.008557,1,326.813504
12,0.008354,1,325.985525
13,0.008176,1,325.895990
14,0.008016,1,326.145194
15,0.007867,1,326.024143
16,0.007729,1,326.233868
17,0.007601,1,326.720417
18,0.007481,1,326.883327
19,0.007370,1,326.240201
20,0.007268,1,326.085574
21,0.007173,1,326.616397
22,0.007086,1,326.606510
23,0.007006,1,326.407812
24,0.006932,1,326.534414
25,0.006865,1,325.088632
26,0.006803,1,324.244466
27,0.006746,1,324.349707
28,0.006694,1,324.271611
29,0.006645,1,324.961557
30,0.006600,1,324.442965
