epoch,train_loss,has_train_loss_improved,time
1,0.039055,1,295.288772
2,0.013023,1,294.970403
3,0.012648,1,294.916365
4,0.012381,1,294.885747
5,0.012130,1,294.924278
6,0.011884,1,294.846188
7,0.011627,1,294.875779
8,0.011334,1,294.880952
9,0.010972,1,294.951080
10,0.010526,1,294.952076
11,0.010004,1,295.289769
12,0.009423,1,301.290872
13,0.008746,1,294.978249
14,0.008003,1,294.983315
15,0.007470,1,295.071065
16,0.007191,1,295.083791
17,0.007015,1,328.814313
18,0.006875,1,295.154819
19,0.006752,1,295.236268
20,0.006646,1,295.124240
21,0.006551,1,295.090361
22,0.006467,1,295.015427
23,0.006391,1,294.960802
24,0.006321,1,294.936475
25,0.006256,1,294.872114
26,0.006194,1,294.797461
27,0.006136,1,294.894008
28,0.006081,1,294.870162
