epoch,train_loss,has_valid_loss_improved,time
1,0.060942,0.030255,1,885.451745
2,0.027037,0.024120,1,876.297178
3,0.022692,0.020734,1,874.987713
4,0.019060,0.017307,1,875.608070
5,0.016279,0.015273,1,875.247039
6,0.014627,0.013980,1,875.194399
7,0.013527,0.013067,1,875.064119
8,0.012729,0.012382,1,875.360279
9,0.012111,0.011829,1,875.417358
10,0.011618,0.011380,1,875.139946
11,0.011221,0.011033,1,875.378107
12,0.010908,0.010747,1,875.421366
13,0.010654,0.010527,1,875.369664
14,0.010448,0.010334,1,875.615260
15,0.010277,0.010174,1,875.345946
16,0.010135,0.010047,1,875.438988
17,0.010022,0.009927,1,875.326399
18,0.009922,0.009897,1,874.579655
19,0.009864,0.009853,1,874.834642
20,0.009848,0.009808,1,875.325662
21,0.009877,0.009826,0,875.240829
22,0.009974,0.010063,0,875.297749
23,0.010308,0.013853,0,875.079981
24,0.011191,0.012618,0,875.125121
25,0.011816,0.010660,0,875.128566
26,0.011166,0.010934,0,875.582112
27,0.011590,0.011709,0,875.237611
28,0.011950,0.011577,0,875.113003
29,0.012616,0.012678,0,874.974781
30,0.012793,0.014148,0,875.196688
31,0.014539,0.011442,0,875.030267
32,0.015972,0.012110,0,874.546545
33,0.015232,0.016394,0,875.432531
34,0.018184,0.010884,0,875.198190
35,0.017773,0.011545,0,874.271836
36,0.010649,0.010181,0,874.044461
